date,min,max,median,q1,q3,stdev,count
2022-08-05T00:00:00.000Z,0.5,21.02,4.59,2.88,8.19,4.358,564
2022-08-06T00:00:00.000Z,0,2.13,0.3,0.2,1,0.536,550
2022-08-07T00:00:00.000Z,0.1,362.85,0.98,0.6,1.4,17.268,439
2022-08-08T00:00:00.000Z,0.5,9.65,1.8,0.9,3.3,2.336,513
2022-08-09T00:00:00.000Z,0.47,23.55,1,0.73,1.76,1.751,565
2022-08-10T00:00:00.000Z,0.5,2.1,1.2,0.8,1.42,0.351,464
2022-08-11T00:00:00.000Z,0.4,6.13,1,0.77,1.25,0.484,462
2022-08-12T00:00:00.000Z,0.6,6.43,1.58,1.08,1.92,0.964,555
2022-08-13T00:00:00.000Z,0.4,26.67,1.1,0.9,2.2,4.646,579
2022-08-14T00:00:00.000Z,0.22,144.47,1.2,0.8,2,7.675,545
2022-08-15T00:00:00.000Z,1.88,12.5,4.84,3.12,7.23,2.636,461
2022-08-16T00:00:00.000Z,3.8,14.05,7.4,5.88,9.9,2.541,584
2022-08-17T00:00:00.000Z,3.33,26.27,9.88,4.25,14.4,6.347,434
2022-08-18T00:00:00.000Z,3.03,20.2,10.89,5.05,14,4.739,470
2022-08-19T00:00:00.000Z,2.45,34.15,7.52,3.7,15.54,7.564,568
2022-08-20T00:00:00.000Z,0.73,26.63,8.27,5.2,10.4,5.048,535
2022-08-21T00:00:00.000Z,0.5,2.72,1.27,1,1.6,0.449,508
2022-08-22T00:00:00.000Z,0.2,2.5,1.26,0.8,1.55,0.468,358
2022-08-23T00:00:00.000Z,0.5,2.7,1.25,0.9,1.6,0.442,538
2022-08-24T00:00:00.000Z,0.13,4.8,0.68,0.4,1.02,0.546,481
2022-08-25T00:00:00.000Z,0.2,2.6,0.7,0.45,1.02,0.46,509
2022-08-26T00:00:00.000Z,0.6,10.15,1.5,0.88,2.66,2.415,553
2022-08-27T00:00:00.000Z,1.75,10.88,7,4.82,8.3,2.005,541
2022-08-28T00:00:00.000Z,0.4,2.58,1.2,0.9,1.5,0.423,536
2022-08-29T00:00:00.000Z,0.1,1.63,0.5,0.3,0.8,0.326,526
2022-08-30T00:00:00.000Z,0.1,1.12,0.4,0.3,0.5,0.134,542
2022-08-31T00:00:00.000Z,0.05,1.8,0.45,0.3,0.55,0.246,529
2022-09-01T00:00:00.000Z,0,1.17,0.43,0.3,0.6,0.215,482
2022-09-02T00:00:00.000Z,0.1,19.7,0.4,0.3,0.62,1.424,464
2022-09-03T00:00:00.000Z,0.17,4.38,0.93,0.4,1.42,0.712,395
2022-09-04T00:00:00.000Z,0.1,9.65,0.9,0.4,1.62,1.356,240
2022-09-05T00:00:00.000Z,0.1,8.1,1.3,0.4,2,0.956,375
2022-09-06T00:00:00.000Z,0.2,6.03,0.93,0.5,1.49,0.686,536
2022-09-07T00:00:00.000Z,0,2.52,0.4,0.2,0.9,0.413,495
2022-09-08T00:00:00.000Z,0.2,3.25,0.68,0.45,0.93,0.465,348
2022-09-09T00:00:00.000Z,0.2,40.95,0.7,0.43,2.42,2.638,519
2022-09-10T00:00:00.000Z,0.8,7.88,2.27,1.6,2.83,0.912,514
2022-09-11T00:00:00.000Z,1,23.33,1.7,1.48,4.84,2.673,514
2022-09-12T00:00:00.000Z,0.8,35.25,2.1,1.3,3.3,4.602,459
2022-09-13T00:00:00.000Z,0.6,15.68,1.73,1.48,2.13,1.392,476
2022-09-14T00:00:00.000Z,0.1,2.47,0.3,0.2,0.8,0.473,518
2022-09-15T00:00:00.000Z,0.03,1.8,0.4,0.2,0.63,0.349,518
2022-09-16T00:00:00.000Z,0.1,4.2,0.5,0.4,0.8,0.781,501
2022-09-17T00:00:00.000Z,0.1,5.97,0.47,0.3,1.7,1.072,497
2022-09-18T00:00:00.000Z,0,9.44,0.6,0.4,1.5,0.922,504
